Price,Close,High,Low,Open,Volume
Ticker,KLBN3.SA,KLBN3.SA,KLBN3.SA,KLBN3.SA,KLBN3.SA
Date,,,,,
2020-01-02,3.0790882110595703,3.086183064848803,3.0152363876089088,3.022331055332898,384340
2020-01-03,3.0861828327178955,3.0861828327178955,3.0152361608143394,3.0790879794623107,388740
2020-01-06,3.0861828327178955,3.121656540800132,3.050709124635659,3.071993312271955,206030
2020-01-07,3.0861828327178955,3.1571295046214516,3.0365203484506353,3.100372353163836,335280
2020-01-08,3.036520481109619,3.100372488612375,2.9797625829114573,3.0861829675465255,447480
2020-01-09,3.036520481109619,3.0932776350468316,3.0010467714776135,3.036520481109619,256630
2020-01-10,3.036520481109619,3.0719934464806755,3.029425813609313,3.043615334675163,233310
2020-01-13,3.093277931213379,3.1145623078826494,3.0436156260867824,3.086183263033792,264220
2020-01-14,3.0790882110595703,3.0932777325727923,3.0507093540983696,3.0932777325727923,301180
2020-01-15,3.071993827819824,3.093278019028074,3.02233133521811,3.093278019028074,343530
2020-01-16,3.0507097244262695,3.0861834394828835,3.0223314222159354,3.0861834394828835,165220
2020-01-17,3.121656656265259,3.121656656265259,3.0365204607667096,3.0507092374765534,394020
2020-01-20,3.1145617961883545,3.121656463202352,3.0648985688947006,3.121656463202352,145200
2020-01-21,3.0861828327178955,3.121656540800132,3.0861828327178955,3.114561873609776,271920
2020-01-22,3.1500349044799805,3.1500349044799805,3.086182898407682,3.114561939903614,402050
2020-01-23,3.171319007873535,3.2138870132823967,3.150035005169104,3.1642243403053913,524040
2020-01-24,3.1500349044799805,3.2067918710804455,3.1216566072449807,3.1784139459759126,242990
2020-01-27,3.0507097244262695,3.1003729627185823,3.015236753630719,3.0861834394828835,447150
2020-01-28,3.0507097244262695,3.0861834394828835,2.979763038574105,3.0223314222159354,177210
2020-01-29,3.0507097244262695,3.0861834394828835,3.036520945451634,3.0507097244262695,291390
2020-01-30,2.9442903995513916,3.0507100681908437,2.7669232928041083,3.0152370933980754,317570
2020-01-31,3.0152361392974854,3.0648986232103517,2.958478988244891,2.958478988244891,209220
2020-02-03,3.0507097244262695,3.057804393011486,2.9868577071593214,3.057804393011486,257840
2020-02-04,3.036520481109619,3.0648987789803694,2.9939521039773074,3.05070925791452,144540
2020-02-05,3.0223307609558105,3.1074669514166033,3.0223307609558105,3.0648985770883694,181390
2020-02-06,3.036520481109619,3.1216566771785312,3.0223309600437696,3.036520481109619,407990
2020-02-07,2.9513843059539795,3.0507092795316004,2.9513843059539795,3.0507092795316004,254320
2020-02-10,2.8804380893707275,2.9868577474541183,2.8733434206897988,2.9513847761800123,264440
2020-02-11,2.9900708198547363,2.9900708198547363,2.8977407247990374,2.9403550876523634,194590
2020-02-12,3.1179134845733643,3.125015786405542,2.997173794629973,3.032685676321774,287870
2020-02-13,3.089503765106201,3.153424478707372,3.02558305150503,3.03978784079296,140580
2020-02-14,3.0539920330047607,3.1250157966205236,3.0184808962587053,3.089503914812642,118580
2020-02-17,3.039787530899048,3.075298662304144,3.0184804422720473,3.0539915736771435,114400
2020-02-18,2.9900708198547363,3.0326851827080623,2.954559689004713,3.0042756074725117,213400
2020-02-19,3.0184803009033203,3.025582601357879,2.975865939379709,3.025582601357879,117810
2020-02-20,3.011378288269043,3.0468901664668158,2.961662366600824,3.0397876790679987,133870
2020-02-21,3.0966062545776367,3.13211739175843,2.9900713529115857,3.018480933211872,455620
2020-02-26,2.8835372924804688,2.9971739410825493,2.8622301996773394,2.9687651048965926,399960
2020-02-27,2.769899606704712,2.890639281695451,2.769899606704712,2.883536794477404,405900
2020-02-28,2.755694627761841,2.8054112897846353,2.6633645355042845,2.7698994149491276,347270
2020-03-02,2.8977410793304443,2.961662538298352,2.791206928684484,2.8409228532349022,461450
2020-03-03,2.9758665561676025,3.0184809265236083,2.9190483270202194,2.9758665561676025,480370
2020-03-04,3.160526990890503,3.167629292875164,2.975866580492942,2.982969068743063,599500
2020-03-05,3.061094284057617,3.217345294814018,3.0184808461633894,3.0895038635386136,402600
2020-03-06,2.940355062484741,3.0752985879116053,2.8835366575616725,3.046889944246343,409750
2020-03-09,2.798309087753296,2.876434395571597,2.7201835936695686,2.826717731800035,615890
2020-03-10,2.7912070751190186,2.968764995593196,2.7343888460426333,2.9190483233727087,543840
2020-03-11,2.571035623550415,2.8125140663666524,2.350863340662147,2.7912069751114257,710160
2020-03-12,2.251431703567505,2.48580784757229,2.1733061980556077,2.450295966292999,770990
2020-03-13,2.301147699356079,2.556831149593259,2.215920068875827,2.485808124193049,801460
2020-03-16,2.0383615493774414,2.2869424396545632,1.953134502089266,2.2869424396545632,1433190
2020-03-17,2.024157762527466,2.237226804619363,1.9886458829812605,2.059668897011893,642620
2020-03-18,1.8323942422866821,1.9886449891932887,1.7400641792787668,1.9886449891932887,1140260
2020-03-19,2.0809755325317383,2.123588959102837,1.683246368383136,1.8394971513555307,569690
2020-03-20,1.9531348943710327,2.272738108848262,1.7968840655682585,2.151999162243976,834900
2020-03-23,2.024157762527466,2.066771198414956,1.846599854919996,1.9176228689506283,520520
2020-03-24,1.9886459112167358,2.1662038213452335,1.93182768545095,2.0596689262557772,735570
2020-03-25,2.024157762527466,2.1946124374046496,1.9886458829812605,2.045464107940322,585640
2020-03-26,2.024157762527466,2.1519990015171593,2.024157762527466,2.088078475155035,728640
2020-03-27,2.1377944946289062,2.336659705226146,1.981543656871366,2.073873959829437,1347940
2020-03-30,2.251431703567505,2.478705545822613,2.251431703567505,2.329557022813949,832480
2020-03-31,2.350862741470337,2.4787048838861763,2.3224541008544994,2.379272313413195,467720
2020-04-01,2.3082494735717773,2.43609069344949,2.272737599334519,2.3437613478090356,410300
2020-04-02,2.4858078956604004,2.4858078956604004,2.308249975952706,2.308249975952706,491590
2020-04-03,2.4360909461975098,2.485807612540932,2.3792727238376727,2.4289886451193508,236720
2020-04-06,2.4858078956604004,2.5284213344519126,2.4147848767896885,2.4360912236545302,352880
2020-04-07,2.4005801677703857,2.627854022092681,2.3224548443758497,2.5568310008249213,665390
2020-04-08,2.4147844314575195,2.450295561813033,2.3437614256848005,2.407682130880248,289520
2020-04-09,2.3721702098846436,2.507113928855958,2.357965607887663,2.45029570713347,513480
2020-04-13,2.4289886951446533,2.4289886951446533,2.350863195410463,2.4005798627778057,249480
2020-04-14,2.4147844314575195,2.5071137801657852,2.4147844314575195,2.450295561813033,420750
2020-04-15,2.350862741470337,2.47160239776776,2.336658886825928,2.4360905259718897,571890
2020-04-16,2.3224544525146484,2.4147845508496024,2.30114717719851,2.4147845508496024,404690
2020-04-17,2.3082494735717773,2.4076820508806005,2.3011469869650756,2.393477263932614,353320
2020-04-20,2.3366594314575195,2.3579657771864553,2.279840274328322,2.3082498528929207,542960
2020-04-22,2.4289886951446533,2.4289886951446533,2.343761639247791,2.343761639247791,477950
2020-04-23,2.4929096698760986,2.5000121565252518,2.3792724912054983,2.4289884076262274,489280
2020-04-24,2.5497286319732666,2.592342071087827,2.34376187568679,2.500012704652334,911790
2020-04-27,2.556830644607544,2.663364789135931,2.5355235549302537,2.542625856067538,403700
2020-04-28,2.5639326572418213,2.6988763636658644,2.414784350141563,2.6633644894444934,345070
2020-04-29,2.5639326572418213,2.627853360284789,2.514215996078818,2.627853360284789,343530
2020-04-30,2.6349563598632812,2.6633651962237526,2.563933337634772,2.5710358261230892,352330
2020-05-04,2.5781381130218506,2.677569971019822,2.5355239274071057,2.634956344201472,256740
2020-05-05,2.7485926151275635,2.7627972175369058,2.592341802359359,2.6491607707930465,637890
2020-05-06,2.7272863388061523,2.784104563605082,2.62785374691261,2.7130815497746146,322080
2020-05-07,2.9687650203704834,3.0681968755176507,2.720184078644347,2.727286566886813,1333200
2020-05-08,3.1179134845733643,3.1534246212033414,2.9900713065323394,2.9900713065323394,840290
2020-05-11,3.1534245014190674,3.231549818605398,3.103708576747761,3.1250156677003904,646360
2020-05-12,3.1037089824676514,3.259959823531024,3.011378863821601,3.1960391011137017,478940
2020-05-13,3.3664932250976562,3.402005102031278,3.103708278782665,3.103708278782665,1269510
